resuming with ''

=== position 1/48 ===
  [ 1] 0: 101.89  (502 so far: 0)
  [ 2] 1:  35.71  (502 so far: 1)
  [ 3] 2:  33.15  (502 so far: 3)
  [ 4] 3:  35.35  (502 so far: 3)
  [ 5] 4:  33.96  (502 so far: 7)
  [ 6] 5:  37.06  (502 so far: 8)
  [ 7] 6:  32.26  (502 so far: 9)
  [ 8] 7:  31.38  (502 so far: 10)
  [ 9] 8:  31.27  (502 so far: 11)
  [10] 9:  43.99  (502 so far: 13)
  [11] a:  32.28  (502 so far: 14)
  [12] b:  36.98  (502 so far: 15)
  [13] c:  32.36  (502 so far: 16)
  [14] d:  33.11  (502 so far: 17)
  [15] e:  30.83  (502 so far: 18)
  [16] f:  33.96  (502 so far: 19)
  [17] g:  33.33  (502 so far: 19)
  [18] h:  36.12  (502 so far: 20)
  [19] i:  34.71  (502 so far: 21)
