[2024-05-03 03:12:05] | treasury | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:14] | finance | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:16] | arif.khan | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:20] | support | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:28] | treasury | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:31] | karim.hassan | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:37] | sysadmin | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:46] | guest | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:49] | treasury | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:12:53] | demo | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:00] | administrator | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:05] | karim.hassan | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:13] | karim.hassan | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:18] | operator | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:25] | karim.hassan | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:27] | administrator | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:36] | operator | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:39] | guest | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:46] | info | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:50] | administrator | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:52] | info | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:55] | finance | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:13:57] | test | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:14:06] | arif.khan | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:14:10] | demo | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:14:14] | demo | FAILED_LOGIN | AUTH_SERVICE | DENIED | 45.33.32.156
[2024-05-03 03:14:29] | security.monitor | ALERT_RAISED | AUTH_SERVICE | BLOCKED_source=45.33.32.156_reason=brute_force_threshold | 10.0.1.2
