stream,request_frame,request_ts,branch,response_frame,response_len,entropy,sha256,first16,last16,sum_mod256,xor_all
1,14,1715191231.032844,29,16,4232,7.958061,846435e461b737f2d92f57bdca92a1d8cc46e419a0a1b77460b7e0a061f9a1df,4c44d5b9a378d6e43b353798a6ba801a,bf56b2a4a0bf0d90d26bcba08df6ed3d,160,226
4,54,1715191396.784046,22,56,3918,7.953799,0d66806364cbf744112513cb16308eb43c67b645201227fba233844b02507307,5a5dff50e8257a25bea622deab5d4fb2,46654844b335cae4709019c1f34d55bb,121,181
5,64,1715191414.336211,17,66,5326,7.96408,334d91f0cb47ca9a25938fead6fe220b6e15234a0c42d0b9ae59e6bc7c20e85e,b37ead82132f03408b71294f9227133b,520b9b2139e47fe2104b0dc27a50146a,157,111
6,76,1715191609.834944,11,78,5749,7.967457,ed5f979f31dc3c8774fa22918a479de50281ce6bef003778847e77542c9426bc,a5a7c6bae764b5a165a26e69abbf47de,04f4529ea57f16d4ca07762253a83bfb,173,131
7,86,1715191630.365772,8,88,3371,7.938064,308de459be22001bebcf66ebf39aaa0faed28536170281639df86ed158a7ff62,8b6a4c33bf4b47f7d97190c2d92dc098,70992e28ca1a9b299b5138ccd94c11a3,130,226
13,146,1715191973.2989,40,148,5209,7.967875,7bdeab85c05109013c0d67dc1b20fd0b63a2097bd888a36f517f43c2563c1721,6126c4caa4384219552350cf9d5df4fd,fe27965f53c21bf2106175977f1b88a3,132,0
15,166,1715192267.795125,39,168,3936,7.955095,7460b3de05640eb817fc4d9fc4c738f32676e541b5b8061ba920b2c4d7f6382a,b840f3eedd2a6ee51e7c3ee137f02d15,6fca18320e1a6fafc0e5aa507d181088,121,123
16,176,1715192361.259378,11,178,1320,7.863911,2a01b5620c29f98c986ace6be5a4ad06b4d10f9d99c21d4c3b5696f240ee7e59,22dbf74d5e6ac378ecd9bb4ad8489819,10af7ddd66cd9257a98c2cd6cec0aa93,55,165
17,186,1715192376.73053,16,188,2979,7.942543,f293a1871fe3ed4bd113b412523057401b96e1556870e9ce93032e7614a0405c,972615ec3578f8853b0af20459a6baeb,437ac294c52b2e532c6e83ce13714c04,114,30
19,206,1715192412.688961,31,208,1548,7.880401,ea2d710fcb23796e04d283f811f1e036efeb60f63226591ade858aeea061b2cf,9254326e87213a956a1bdaed8a7eefc8,6f8ec2b3a6f9c4e4370fda7b7f1a4c64,11,93
26,280,1715192700.013014,3,282,2794,7.937317,c5f5c3ac2daa1a6567f43dd7b822c5e4efc66b691d36cc0a1227457d850f3d55,89ffac0bb2735ec72bf2fa7fb3405f81,2f60ebf9727c2dc081da64960cb2117d,206,252
27,291,1715192726.051083,17,293,3101,7.937177,685df5d0d49903278dd705c290c8fb6a4e8ea2c25a08cdbfdd81b449f825c10d,bf6240290ddb6c63142e4d178ed50cdb,5cd63eee53dbf801b4e1942bea920c36,12,10
29,311,1715192945.353431,6,313,4100,7.949709,5c3cc6aa3c6f52c73669906191d0c553e8807da79bf19e70a573c75b69ae74f6,623e4bb535e8530c21c2650325cd9014,83ab9f857e0afa8f88b97cf86a23dba8,60,144
