[+] jq version: jq-1.8.2
[+] solver version: 2026-07-27-v2-standalone-live
[+] connecting to challs.pyjail.club:20219 (connect timeout 15s)
[+] TCP connected; waiting for challenge prompt
[+] challenge prompt received
[+] loaded 225 locally validated singleton predicates from chains_225.json
[*] recovering flag length
    progress: 8/19 ( 42.1%) | 14.2 q/s | ETA 0.8s
    progress: 16/19 ( 84.2%) | 13.4 q/s | ETA 0.2s
    progress: 19/19 (100.0%) | 11.4 q/s | ETA 0.0s
    remote oracle: 19 queries in 1.66s
[+] length signature identity -> [103, 105, 107, 109, 110, 115, 119, 122, 127, 128]
    progress: 1/1 (100.0%) | 4.1 q/s | ETA 0.0s
    remote oracle: 1 queries in 0.25s
[+] length signature tostring|length -> [103, 105, 107, 109, 110, 115, 119, 122, 127, 128]
    progress: 6/6 (100.0%) | 9.8 q/s | ETA 0.0s
    remote oracle: 6 queries in 0.61s
[+] length signature tostring|explode|last -> [122]
[+] flag length = 122
[*] broad phase: 84 features, 2401 oracle queries
    progress: 8/2401 (  0.3%) | 14.8 q/s | ETA 162.2s
    progress: 16/2401 (  0.7%) | 15.1 q/s | ETA 158.4s
    progress: 24/2401 (  1.0%) | 14.4 q/s | ETA 165.3s
    progress: 32/2401 (  1.3%) | 13.6 q/s | ETA 173.9s
    progress: 40/2401 (  1.7%) | 14.2 q/s | ETA 166.5s
    progress: 48/2401 (  2.0%) | 13.9 q/s | ETA 169.7s
    progress: 56/2401 (  2.3%) | 13.9 q/s | ETA 168.5s
    progress: 64/2401 (  2.7%) | 14.2 q/s | ETA 164.2s
    progress: 72/2401 (  3.0%) | 14.4 q/s | ETA 161.4s
    progress: 80/2401 (  3.3%) | 14.4 q/s | ETA 160.8s
    progress: 88/2401 (  3.7%) | 14.5 q/s | ETA 159.6s
    progress: 96/2401 (  4.0%) | 14.6 q/s | ETA 158.1s
    progress: 104/2401 (  4.3%) | 14.0 q/s | ETA 163.6s
    progress: 112/2401 (  4.7%) | 14.2 q/s | ETA 161.8s
    progress: 120/2401 (  5.0%) | 14.1 q/s | ETA 162.1s
    progress: 128/2401 (  5.3%) | 14.2 q/s | ETA 160.6s
    progress: 136/2401 (  5.7%) | 14.3 q/s | ETA 158.5s
    progress: 144/2401 (  6.0%) | 14.4 q/s | ETA 156.9s
    progress: 152/2401 (  6.3%) | 14.4 q/s | ETA 155.7s
    progress: 160/2401 (  6.7%) | 14.4 q/s | ETA 155.3s
    progress: 168/2401 (  7.0%) | 14.4 q/s | ETA 155.6s
    progress: 176/2401 (  7.3%) | 14.2 q/s | ETA 157.2s
    progress: 184/2401 (  7.7%) | 14.2 q/s | ETA 156.4s
    progress: 192/2401 (  8.0%) | 14.3 q/s | ETA 154.9s
    progress: 200/2401 (  8.3%) | 14.3 q/s | ETA 154.1s
    progress: 208/2401 (  8.7%) | 14.3 q/s | ETA 153.1s
    progress: 216/2401 (  9.0%) | 14.3 q/s | ETA 152.5s
    progress: 224/2401 (  9.3%) | 14.3 q/s | ETA 152.0s
    progress: 232/2401 (  9.7%) | 13.9 q/s | ETA 155.9s
    progress: 240/2401 ( 10.0%) | 13.7 q/s | ETA 157.9s
    progress: 248/2401 ( 10.3%) | 13.7 q/s | ETA 156.7s
    progress: 256/2401 ( 10.7%) | 13.7 q/s | ETA 156.4s
    progress: 264/2401 ( 11.0%) | 13.6 q/s | ETA 157.0s
    progress: 272/2401 ( 11.3%) | 13.6 q/s | ETA 156.1s
    progress: 280/2401 ( 11.7%) | 13.7 q/s | ETA 155.0s
    progress: 288/2401 ( 12.0%) | 13.7 q/s | ETA 153.9s
    progress: 296/2401 ( 12.3%) | 13.7 q/s | ETA 153.1s
    progress: 304/2401 ( 12.7%) | 13.8 q/s | ETA 151.9s
    progress: 312/2401 ( 13.0%) | 13.8 q/s | ETA 151.7s
    progress: 320/2401 ( 13.3%) | 13.8 q/s | ETA 150.7s
    progress: 328/2401 ( 13.7%) | 13.8 q/s | ETA 149.7s
    progress: 336/2401 ( 14.0%) | 13.7 q/s | ETA 150.7s
    progress: 344/2401 ( 14.3%) | 13.7 q/s | ETA 149.9s
    progress: 352/2401 ( 14.7%) | 13.8 q/s | ETA 148.9s
    progress: 360/2401 ( 15.0%) | 13.7 q/s | ETA 149.1s
    progress: 368/2401 ( 15.3%) | 13.7 q/s | ETA 148.4s
    progress: 376/2401 ( 15.7%) | 13.8 q/s | ETA 147.2s
    progress: 384/2401 ( 16.0%) | 13.8 q/s | ETA 146.1s
    progress: 392/2401 ( 16.3%) | 13.8 q/s | ETA 145.5s
    progress: 400/2401 ( 16.7%) | 13.8 q/s | ETA 145.2s
    progress: 408/2401 ( 17.0%) | 13.8 q/s | ETA 144.1s
    progress: 416/2401 ( 17.3%) | 13.8 q/s | ETA 143.8s
    progress: 424/2401 ( 17.7%) | 13.9 q/s | ETA 142.7s
    progress: 432/2401 ( 18.0%) | 13.9 q/s | ETA 142.0s
    progress: 440/2401 ( 18.3%) | 13.9 q/s | ETA 141.1s
    progress: 448/2401 ( 18.7%) | 13.8 q/s | ETA 141.6s
    progress: 456/2401 ( 19.0%) | 13.8 q/s | ETA 140.6s
    progress: 464/2401 ( 19.3%) | 13.8 q/s | ETA 140.3s
    progress: 472/2401 ( 19.7%) | 13.8 q/s | ETA 139.5s
    progress: 480/2401 ( 20.0%) | 13.9 q/s | ETA 138.6s
    progress: 488/2401 ( 20.3%) | 13.9 q/s | ETA 137.8s
    progress: 496/2401 ( 20.7%) | 13.9 q/s | ETA 137.0s
    progress: 504/2401 ( 21.0%) | 13.9 q/s | ETA 136.2s
    progress: 512/2401 ( 21.3%) | 14.0 q/s | ETA 135.2s
    progress: 520/2401 ( 21.7%) | 14.0 q/s | ETA 134.3s
    progress: 528/2401 ( 22.0%) | 14.0 q/s | ETA 133.8s
    progress: 536/2401 ( 22.3%) | 14.0 q/s | ETA 133.4s
    progress: 544/2401 ( 22.7%) | 14.0 q/s | ETA 132.9s
    progress: 552/2401 ( 23.0%) | 14.0 q/s | ETA 132.2s
    progress: 560/2401 ( 23.3%) | 14.0 q/s | ETA 131.5s
    progress: 568/2401 ( 23.7%) | 14.0 q/s | ETA 130.6s
    progress: 576/2401 ( 24.0%) | 14.0 q/s | ETA 130.2s
    progress: 584/2401 ( 24.3%) | 14.0 q/s | ETA 129.4s
    progress: 592/2401 ( 24.7%) | 13.9 q/s | ETA 130.0s
    progress: 600/2401 ( 25.0%) | 13.8 q/s | ETA 130.0s
    progress: 608/2401 ( 25.3%) | 13.9 q/s | ETA 129.2s
    progress: 616/2401 ( 25.7%) | 13.9 q/s | ETA 128.6s
    progress: 624/2401 ( 26.0%) | 13.9 q/s | ETA 128.0s
